feature,mean_abs_shap
max_consumption,0.41381982397178413
min_consumption,0.21466660441418256
month_10_mean,0.18995835671637223
missing_rate,0.15733858222386052
std_consumption,0.15322283590836508
month_7_mean,0.135603997733318
month_6_mean,0.1011486346407274
month_3_mean,0.09695243016317416
month_11_mean,0.09115521134787227
consumption_change,0.08621112580395995
long_term_change,0.08328707343676542
month_2_mean,0.07761726829648245
month_4_mean,0.06386454160962793
zero_rate,0.060859809002409684
seasonal_std,0.060685327707754054
month_8_mean,0.060650852970569005
month_5_mean,0.05959436657733474
month_1_mean,0.05684168178639502
month_9_mean,0.05299928677882287
median_consumption,0.051856509510234454
first_half_mean,0.0433068772289634
month_12_mean,0.04043359856866938
early_mean,0.03928541465422384
recent_mean,0.02722510829778713
second_half_mean,0.02350465396736086
mean_consumption,0.020170258186940362
missing_count,0.012262113445891282
